Question,Title,QType,Q_1,Q_2,Q_3,Q_4,Q_5,Answers,Sources,Extra 1,Tags
"While building the agile space for a new agile team, which of the following tools should the project manager ensure is available to all of them?",,2,A big screen monitor with the latest Kanban software,A whiteboard,A network-enabled project management software,Private offices with virtual meeting software,0 1 0 0,lesson: 3 / question: 20,,
Who is in charge of managing the work during the iteration?,,2,Agile project manager,Team,Product owner,Senior management,0 1 0 0,lesson: 3 / question: 21,,
The agile manifesto values working software over?,,2,Processes and tools,Comprehensive documentation,Contract negotiation,Following a plan,0 1 0 0,lesson: 3 / question: 22,,
The agile manifesto contains how many guiding principles?,,2,4,10,11,12,0 0 0 1,lesson: 3 / question: 23,,
Who should determine the work that should be placed in the iteration backlog?,,2,Product owner,Agile project manager,Team,Senior management,0 0 1 0,lesson: 3 / question: 24,,
"While a Sprint is currently being done, which of the following should not be performed?",,2,Adding work to the product backlog,Reprioritizing the product backlog,Changing the team members,Changing methods of communication with stakeholders,0 0 1 0,lesson: 3 / question: 25,,
"To have an effective daily standup meeting, which of the following should not be done?",,2,Limit the meeting to 15 minutes,Try to hold the meeting at the same time everyday,Try to hold the meeting at the same place everyday,Allow team members to discuss personal issues,0 0 0 1,lesson: 3 / question: 26,,
Which of the following is the characteristic of a high-performing agile team?,,2,A team of specialized skills,A team of generalizing specialists,A team that uses the latest in communication software,A team of extremely knowledgeable programmers,0 1 0 0,lesson: 3 / question: 27,,
"When following XP practices, what is the concept of collective code ownership?",,2,The codes are collectively owned by the team and can be improved or amended by anyone,The code is owned by a single person,The code can only be amended by a single person at a time,The code should be collected and amended by a single person,1 0 0 0,lesson: 3 / question: 28,,
"During the daily standup meeting, the team members are required to answer how many questions?",,2,3,4,5,6,1 0 0 0,lesson: 3 / question: 29,,
What is critical on an agile project for it to be successful?,,2,Being a servant leader,Stakeholder satisfaction,Very thorough change control process,Having a well-defined project management plan,0 1 0 0,lesson: 3 / question: 30,,
